eid	symbol	dN4BP1.v.WT.lfc	dN4BP1.v.WT.pval	WT8h.v.untreat.lfc	WT8h.v.untreat.pval	MLKLkoC8ko.v.WT8h.lfc	MLKLkoC8ko.v.WT8h.pval	MLKLkoC8ko.v.MLKLko.lfc	MLKLkoC8ko.v.MLKLko.pval	MLKLkoN4ko.v.MLKLko.lfc	MLKLkoN4ko.v.MLKLko.pval	MLKLkoC8koN4ko.v.MLKLkoC8ko.lfc	MLKLkoC8koN4ko.v.MLKLkoC8ko.pval
ENSMUSG00000000001	Gnai3	-0.0991505354197866	0.99998065118168	0.224286156036325	0.330677813646764	-0.14603423747907	0.708881032874928	0.21027112945033	0.370966009130171	-0.0195245913412556	0.999977687840358	0.164749018273605	0.882494397443093
ENSMUSG00000000028	Cdc45	-0.727419875761394	0.99998065118168	-2.29629090879134	1.57398978864477e-06	0.847738957644647	0.232155005742977	1.7599268822103	0.00241994902071024	0.301113257694416	0.999977687840358	-0.372668881370842	0.819505794582806
ENSMUSG00000000056	Narf	0.249106879791954	0.99998065118168	0.490769769319666	0.226939933108704	-0.179603352562125	0.79574670690825	-0.52587722483531	0.198565914703132	0.106999405541527	0.999977687840358	0.227193077009634	0.92393543535486
ENSMUSG00000000058	Cav2	0.0306886844207224	0.99998065118168	-0.296722285118964	0.407269362033869	0.40040031080918	0.529057886456251	0.773383957749832	0.0479224123994987	-0.0230973811131685	0.999977687840358	0.0821676617003977	0.96389183076626
ENSMUSG00000000078	Klf6	-0.137197335657072	0.99998065118168	2.08785050683625	8.42845266972683e-08	-0.419539794234957	0.412610410327348	0.0783757167343317	0.808436772070712	0.0666235867967533	0.999977687840358	0.543702619913367	0.314204199671185
ENSMUSG00000000085	Scmh1	0.266564315463851	0.99998065118168	0.241149256295495	0.622221563363334	-0.681729155511941	0.477477699677935	-0.971363117045817	0.083631489128456	0.150240788389966	0.999977687840358	0.069458694362309	0.978033024749675
ENSMUSG00000000088	Cox5a	-0.0906732123234208	0.99998065118168	-0.324578475831755	0.275875383764974	0.413855377298995	0.410814464432833	0.85474864354899	0.0114647714651609	-0.0256358167434509	0.999977687840358	-0.125104723991067	0.944175251316496
ENSMUSG00000000127	Fer	0.152190518674007	0.99998065118168	0.841730327206565	0.172582811440794	-0.386372868763736	0.707270319822576	-0.994387215976027	0.102259857166475	0.125931289210976	0.999977687840358	0.182899968452152	0.953994460990672
ENSMUSG00000000131	Xpo6	-0.0329111135110001	0.99998065118168	0.903705747791495	4.45726563845738e-07	-0.14272506055951	0.580277799029927	0.121026927539441	0.414794373826612	0.127265119643684	0.999977687840358	0.115158947733551	0.864576608288
ENSMUSG00000000134	Tfe3	-0.0560583845006306	0.99998065118168	1.15943737130936	0.00168139195375275	-0.42840826079221	0.487933919707853	-0.493697617351922	0.175167698882861	0.0324290845610218	0.999977687840358	0.218196052677226	0.907212201850658
ENSMUSG00000000148	Brat1	0.0409349614487287	0.99998065118168	-0.0683845264616858	0.741231902177155	-0.30050438926285	0.389968467275842	-0.385912351658339	0.079627224085213	-0.0558138192830677	0.999977687840358	-0.0014198392785576	0.998492791572701
ENSMUSG00000000149	Gna12	0.0730366158723692	0.99998065118168	-1.22901894022684	0.00165745544995044	-0.523064228746576	0.435179428164738	-1.37351257940827	0.0022032923440079	0.299807549262079	0.999977687840358	-0.0405254452382229	0.980736939356539
ENSMUSG00000000154	Slc22a18	-0.221661334627438	0.99998065118168	-0.119096897113064	0.802343477330751	-0.418352346970305	0.644918226850773	-0.115388098282946	0.831951630696818	0.171162159120391	0.999977687840358	0.0769106720854702	0.974967542603138
ENSMUSG00000000168	Dlat	-0.0751223957566136	0.99998065118168	0.387187141988738	0.00131204481007842	0.141336147372829	0.480992916393293	0.273968541434964	0.0303151707123647	-0.0305816934717447	0.999977687840358	0.0600070191876139	0.930368766898513
ENSMUSG00000000171	Sdhd	-0.133226484724199	0.99998065118168	-0.715359464024333	0.10050626986446	0.35123771934739	0.64637623749008	0.874642358665833	0.0654348266229217	-0.0201190507616946	0.999977687840358	-0.274179905621594	0.905772738480907
ENSMUSG00000000184	Ccnd2	0.473101698568038	0.99998065118168	6.8582390553233	6.1770201320723e-06	-2.40419338532379	0.00330612319920359	-0.0997174377286214	0.888753851955858	0.544620809869286	0.999977687840358	1.29727487961163	0.221492411188009
ENSMUSG00000000194	Gpr107	0.131086974571438	0.99998065118168	0.483225096603078	0.000141898932261235	-0.0237043804718287	0.903119844056074	-0.191764733337373	0.117599211133726	-0.009224457800876	0.999977687840358	0.178858140097887	0.453495561626597
ENSMUSG00000000244	Tspan32	0.120916525433529	0.99998065118168	-2.21781284112666	0.000234999156040965	1.093592079427	0.230558297745742	2.66953504417174	0.00189171996159573	0.214115207159764	0.999977687840358	-0.268141447169507	0.934948390299359
ENSMUSG00000000247	Lhx2	0.0888791877708006	0.99998065118168	7.61544466980368	0.0149448756474248	-0.00807915056535125	0.995368405318629	1.66280117743547	0.0833489079132992	0.0137803422715361	0.999977687840358	0.414285105466837	0.922436752399729
ENSMUSG00000000253	Gmpr	-0.695616954562246	0.99998065118168	-2.02281742151861	1.92348914015435e-06	-0.256082952392698	0.740916051827577	0.473116727841471	0.320755977616138	-0.120603432207704	0.999977687840358	-0.898798151225321	0.378963711721094
ENSMUSG00000000275	Trim25	0.357202116103286	0.99998065118168	2.08207248139672	3.30845853607903e-05	-0.438868860722616	0.576617300703966	-0.172883863510192	0.706403502831264	0.304928638529686	0.999977687840358	1.08420283691017	0.0967233063199724
ENSMUSG00000000276	Dgke	-0.0464685628025285	0.99998065118168	0.533490820935271	0.0703686250866391	-0.261291421928576	0.618729628193577	-0.680053008185237	0.0287229641039946	0.0451919238785448	0.999977687840358	0.545347162510402	0.269054316141534
ENSMUSG00000000278	Scpep1	-0.0859153387958891	0.99998065118168	-0.266528078182358	0.0345894818939718	-0.583174379518868	0.000363815113995585	-0.695075610084552	1.35417009674688e-05	0.0391835402290823	0.999977687840358	-0.353454148569265	0.0515264359988339
ENSMUSG00000000282	Mnt	0.239070731803693	0.99998065118168	-0.0744391386171683	0.868408377366138	0.0461174808883218	0.952695670496295	-0.148552274420635	0.73707123185844	-0.111778679089505	0.999977687840358	-0.0897778838488099	0.966526688742595
ENSMUSG00000000290	Itgb2	0.172222064337127	0.99998065118168	-0.571329157811672	0.00179008936603095	0.00491714588811476	0.987325447136279	-0.643346296256452	0.00165686405282827	0.164832670267204	0.999977687840358	-0.197097656713481	0.702417316828648
ENSMUSG00000000295	Hddc2	-0.161018433015748	0.99998065118168	-0.707318121080064	0.111059038394094	0.466643219132182	0.575183647850965	1.42011715248909	0.0128754151813393	-0.136199455651171	0.999977687840358	-0.264237410084036	0.917547179676094
ENSMUSG00000000326	Comt	-0.198478528590309	0.99998065118168	-0.926409943497286	2.9106205494608e-07	-0.0648471975610745	0.802756738939572	-0.0513288117737769	0.746703975149773	-0.0125593178058407	0.999977687840358	-0.273410320698904	0.333916864205774
ENSMUSG00000000339	Rtca	-0.00363116003034314	0.99998065118168	0.251902881082777	0.40271909092359	0.00297965665969269	0.99555775720915	0.585258091385586	0.0710611587614584	-0.0296891957861787	0.999977687840358	0.0921349988604305	0.953994460990672
ENSMUSG00000000340	Dbt	0.455965489405424	0.99998065118168	2.02951188206749	0.00266538502003542	-1.56512819576782	0.0768989385583733	-1.55672691815679	0.0267875458771691	0.305993687371138	0.999977687840358	0.666069700145789	0.776115734073084
ENSMUSG00000000346	Dazap2	-0.170164229175302	0.99998065118168	-0.696907498133569	0.0253774309573573	0.286305230405228	0.602031024821307	0.633873019277132	0.0599799232866098	-0.0409817839075242	0.999977687840358	-0.352486948831002	0.688700019055328
ENSMUSG00000000355	Mcts1	0.0203956206735816	0.99998065118168	-0.456659276408081	0.0349807463328382	0.392222854608519	0.25101665844634	0.66105547985386	0.00782104894420042	-0.0999689670529005	0.999977687840358	-0.0763501687021444	0.95073261194597
ENSMUSG00000000374	Trappc10	0.220489894404416	0.99998065118168	0.845419278530591	0.0431327698227184	-0.287341871253553	0.682676068295829	-0.89141426771535	0.0452274341974816	0.112548885891316	0.999977687840358	0.393583608714839	0.78126735554623
ENSMUSG00000000378	Ccm2	-0.106321378891253	0.99998065118168	0.269693236404149	0.298508690985476	0.149819072274924	0.736632888730791	0.366138913288888	0.173536180384769	0.0369000418821548	0.999977687840358	-0.0391256279584153	0.972179625806775
ENSMUSG00000000384	Tbrg4	-0.175875189184397	0.99998065118168	0.921481273291737	2.5091088412063e-08	-0.0606613741649555	0.772444375542797	-0.137078204382831	0.272967286644381	-0.0646015931700017	0.999977687840358	0.17427237773554	0.523256304920963
ENSMUSG00000000386	Mx1	0.223033836969936	0.99998065118168	8.36593969097252	5.02064554255455e-05	-0.331102977897461	0.787508680774902	0.321236792166461	0.667881118666408	0.128943598807465	0.999977687840358	0.0686928238281714	0.9823634850092
ENSMUSG00000000399	Ndufa9	-0.192214512195228	0.99998065118168	-0.240704083658901	0.590462371726688	0.238493256700936	0.751683647715639	1.01893609524613	0.0366162822917405	-0.0344002292929071	0.999977687840358	-0.0744860579484534	0.968967873415664
ENSMUSG00000000409	Lck	0.239356767029713	0.99998065118168	4.86753934715465	3.26624490221412e-05	-0.817356006689421	0.344837066130133	1.68932578766578	0.0126616216164777	0.452229958454523	0.999977687840358	-0.60563923391592	0.724801321981741
ENSMUSG00000000420	Galnt1	0.113013692250826	0.99998065118168	-0.602907757603039	0.000172873893723033	-0.25833482066303	0.297309733212228	-0.518008453938425	0.00319523100945774	0.169510512656817	0.999977687840358	0.322336992244662	0.192639663854034
ENSMUSG00000000439	Mkrn2	-0.165886409048856	0.99998065118168	-0.0910626806987747	0.460126040266618	0.0589590754174436	0.78053332269852	0.156522557290622	0.217233790049523	0.00271877144488553	0.999977687840358	-0.198607427092178	0.42439005657473
